Conversation Number,Script,Detected_Lang,User_Input_ASR,LLM_Response,ASR_Latency_sec,LLM_Latency_sec,TTS_Total_Time_sec,TTFA_sec,E2E_Latency_sec,Input_Audio_Tokens,Transcribed_Text_Tokens,Response_Text_Tokens,Output_Audio_Tokens,ASR_Audio_Token_Rate_per_sec,LLM_TPS,TTS_CPS,RTF,Turn_WER,Turn_CER
3.1,"डॉक्टर, मुझे कल रात से थोड़ी घबराहट हो रही है।",hi,जॉक्टर मुझे कल रात से थोड़ी खपराहत हो,"डॉक्टर काविते, आप्पको नमस्ते। अगर आपको कल रात थोड़ी खपराहत हुई है, तो आप्पका शरीर थोड़ा थका हुआ और नींद की कमी के कारण थोड़ा कमज़ोर महसूस कर सकता है। यह एक आम बात है और इसके लिए आपको घबराने की ज़रूरत नहीं है। आराम करना, भरपूर पानी पीना और नींद की स्वच्छता बनाए रखना मददगार हो सकता है। अगर आपके लक्षण बने रहते हैं या बिगड़ते हैं, तो कृपया अपने स्वास्थ्य सेवा प्रदाता से सलाह लें।",0.65,5.727,42.863,5.748,48.612,60,12,115,1453,92.33,20.17,8.82,1.474,0.375,0.27
3.2,"मेरा बीपी चेक किया था सुबह, ऊपर वाला 140 और नीचे वाला 90 है।",hi,मेगा बी चेक्किया था सुपा उपर वाला 140 और नीचे वाला 90 मिनट,"डॉक्टर काविते, आप्पको नमस्ते। 140/90 का रक्तचाप (बीपी) स्तर थोड़ा ऊंचा माना जाता है, लेकिन यह अभी भी उच्च रक्तचाप के नैदानिक सीमा के भीतर है। यह महत्वपूर्ण है कि आप अपने स्वास्थ्य सेवा प्रदाता से परामर्श करें ताकि वे आपके बीपी की निगरानी कर सकें और उचित उपचार योजना की सिफारिश कर सकें। जीवनशैली में बदलाव, जैसे स्वस्थ आहार, नियमित व्यायाम और तनाव प्रबंधन, आपके बीपी को प्रबंधित करने में मदद कर सकते हैं। यदि आपके पास उच्च रक्तचाप का",0.477,5.926,46.131,5.939,52.069,60,19,121,1661,125.73,20.5,9.36,1.388,0.273,0.2
3.3,"हार्ट रेट भी थोड़ा बढ़ गया है, अभी 110 चल रहा है। क्या यह बीपी की वजह से है?",hi,आठ रेट भी थोड़ा बढ़ गया है अबाउट 110 दल रहा है क्या ये बीटी की वजय से है,"डॉक्टर काविते, आप्पको नमस्ते। 110 का ब्लड ग्लूकोज़ लेवल थोड़ा ऊंचा माना जाता है, खासकर अगर यह लगातार उच्च रक्तचाप के इतिहास के साथ हो। यह सुनिश्चित करने के लिए कि यह उच्च रक्तचाप का प्रत्यक्ष परिणाम है या किसी अन्य कारण से, अपने स्वास्थ्य सेवा प्रदाता से परामर्श करना आवश्यक है। वे आपके स्वास्थ्य का आकलन करेंगे, जीवनशैली में बदलाव की सिफारिश करेंगे और यदि आवश्यक हो, तो आगे के परीक्षणों का आदेश देंगे। स्वस्थ रक्त शर्करा के स्तर को बनाए रखना, संतुलित आहार",0.593,6.065,47.41,6.075,53.485,60,28,127,1753,101.16,21.02,9.62,1.352,0.44,0.254
3.4,"डॉक्टर, क्या मैं खाने में थोड़ा नमक ज़्यादा खा सकता हूँ? ",hi,में खाने में थोड़ा जादा नमक खासता हूँ,"डॉक्टर काविते, आप्पको नमस्ते। नमक का अधिक सेवन उच्च रक्तचाप में योगदान कर सकता है, खासकर जब आहार में सोडियम का सेवन अधिक हो। अपने नमक के सेवन को कम करने, स्वस्थ आहार को बढ़ावा देने और संसाधित खाद्य पदार्थों से बचने की सलाह दी जाती है। यदि आपको भोजन में नमक का स्वाद पसंद है, तो अपने नमक के सेवन को संतुलित करने के लिए विभिन्न प्रकार के मसालों, जड़ी-बूटियों और सब्ज़ियों को आजमाने पर विचार करें। अपने स्वास्थ्य सेवा प्रदाता के साथ मिल",0.419,6.223,44.759,6.245,51.004,60,12,127,1665,143.31,20.49,9.67,1.344,0.611,0.5
3.5,"मैं नमक कम ही खाऊंगा। डॉक्टर, मैं ठीक तोह हो जाऊंगा ना? मुझे डर लग रहा है।",hi,मैं नमा तम भी खाऊगा मैं ठीक तो हो जाऊगा ना मुझे डर लग रहा है,"डॉक्टर काविते, आप्पको नमस्ते। नमक के सेवन से संबंधित चिंताओं के बारे में अपने स्वास्थ्य सेवा प्रदाता से परामर्श करना महत्वपूर्ण है। वे आपके रक्तचाप को प्रबंधित करने के लिए एक व्यक्तिगत योजना प्रदान कर सकते हैं, जिसमें नमक के सेवन को कम करने के लिए आहार संबंधी सुझाव, जीवनशैली में बदलाव और यदि आवश्यक हो तो दवा शामिल हो सकती है। याद रखें, स्वास्थ्य सेवा प्रदाता से मार्गदर्शन प्राप्त करना हमेशा बेहतर होता है ताकि यह सुनिश्चित हो सके कि आपकी चिंताओं को संबोधित किया जा रहा है और आपके स्वास्थ्य को प्राथमिकता दी जा रही है",0.536,6.344,51.531,6.345,57.877,60,24,147,1996,112.01,23.17,10.07,1.291,0.423,0.241
4.1,दवाई  खाने के बाद मुझे थोड़े चक्कर आते हैं। ऐसा क्यूँ हो रहा है?,hi,दवाई खाने के बाद मुझे थोड़े चक कराते हैं ऐसा क्यों हो रहा है,"तबीयत ख़राब होने की वजह से यह हो सकता है कि दवाइयों के कारण आपको उल्टी जैसा महसस हो रहा हो। दवाइयाँ कई बार शरीर को सूट नहीं करतीं और इससे पेट से जुड़ी समस्याएँ हो सकती हैं। यह भी हो सकता है कि दवाइयों के साइड इफ़ेक्ट की वजह से ऐसा हो रहा हो। इसलिए बेहतर होगा कि आप अपने डॉक्टर से इस बारे में बात करें और उनकी सलाह लें। वे आपको सही दवाइयाँ दे सकते हैं और साथ ही आपको दवाइयाँ लेने का सही तरीका भी बता सकते हैं। अगर आपको दवाइयाँ लेने के बाद काफ़ी दिनों से यह समस्या हो रही है, तो",0.791,6.455,50.418,6.473,56.89,60,21,160,1830,75.82,24.86,9.44,1.377,0.095,0.043
4.2,और रात को सोते वक़्त सांस लेने में भी थोड़ी दिक्कत होती है।,hi,और रात को सोते पर सांस लेने में भी थोड़ी दिक्कत होती है।,"नाइट टाइम सांस की तकलीफ एक अलग समस्या हो सकती है, लेकिन यह सीने में दर्द या सांस की तकलीफ जैसी गंभीर समस्याओं का भी संकेत हो सकता है। अगर आपको रात को सोते समय सांस की तकलीफ होती है, तो आपको किसी मेडिकल प्रोफेशनल से सलाह लेनी चाहिए। सांस की तकलीफ कई कारणों से हो सकती है, जैसे कि फेफड़ों की बीमारी, दिल की बीमारी, अस्थमा या स्लीप एपनिया। इसलिए यह ज़रूरी है कि आप अपने डॉक्टर से सलाह लें ताकि वे आपकी समस्या का सही कारण पता लगा सकें और आपको सही इलाज दे सकें। इसके अलावा, अगर आपको",0.487,6.12,47.973,6.147,54.119,60,19,151,1834,123.28,24.75,9.94,1.307,0.136,0.109
4.3,"आज सुबह से मुझे लेफ्ट साइड चेस्ट में थोड़ा पेन फील हो रहा है, गैस जैसा लग रहा है।",hi,आज सुबर से मुझे लेफ साइड चेस्ट में थोड़ा पेन फील हो रहा है कैस जैसे लग रहा है,"लेफ्ट साइड चेस्ट में दर्द कई कारणों से हो सकता है, जिनमें से कुछ गंभीर भी हो सकते हैं। अगर आपको आज सुबह से ही लेफ्ट साइड चेस्ट में दर्द जैसा लग रहा है, तो आपको किसी मेडिकल प्रोफेशनल से सलाह लेनी चाहिए। चेस्ट में दर्द दिल के दौरे, फेफड़ों की बीमारी या पसलियों में चोट जैसे कई कारणों से हो सकता है। अगर आपको ये दर्द कुछ देर तक रहता है, तो यह गंभीर हो सकता है। इसलिए यह ज़रूरी है कि आप अपने डॉक्टर से सलाह लें ताकि वे आपकी समस्या का सही कारण पता लगा सकें और आपको सही इलाज दे सकें। इसके",0.999,6.094,50.001,6.123,56.124,60,28,159,1853,60.07,26.09,9.64,1.349,0.129,0.075
4.4,"मेरी लेफ्ट आर्म में, बहुत भारी-पन लग रहा है।",hi,तेरी लिफ्ट कहां में मतलब आर्ब में बहुत भारीपन लग रहा है,"आपके द्वारा अनुभव की जा रही भावना के लिए कोई विशिष्ट चिकित्सा शब्द नहीं है, लेकिन यह कई स्थितियों के कारण हो सकता है, जैसे कि हृदय की समस्याएँ, पेट की समस्याएँ या यहाँ तक कि मानसिक स्वास्थ्य संबंधी समस्याएँ। यदि आपको लगता है कि आपको किसी चिकित्सा समस्या के कारण यह लक्षण हो रहा है, तो किसी स्वास्थ्य सेवा पेशेवर से परामर्श करना महत्वपूर्ण है। वे आपकी विशिष्ट स्थिति की जाँच कर सकते हैं और उचित निदान और उपचार प्रदान कर सकते हैं। यदि आपको यह लक्षण अपने आप दूर हो रहा है, तो यह तनाव, चिंता या अन्य मनोवैज्ञानिक कारकों",0.505,6.22,47.619,6.232,53.85,60,18,153,1980,118.79,24.6,10.82,1.202,0.312,0.333
4.5,मुझे ठंड लग रही है पर पसीना भी आ रहा है... क्या करूं?,hi,मुझे ठंद लग रही ले पर पसीना भी आ रहा है क्या करूँ,"आपको जिस तरह के लक्षणों का अनुभव हो रहा है, वह थकान, संक्रमण या हृदय संबंधी समस्याओं जैसी विभिन्न स्थितियों के कारण हो सकता है। अगर आपको लगता है कि आपको चिकित्सा संबंधी समस्या के कारण ये लक्षण हो रहे हैं, तो किसी स्वास्थ्य सेवा पेशेवर से परामर्श करना महत्वपूर्ण है। वे आपकी विशिष्ट स्थिति की जाँच कर सकते हैं और उचित निदान और उपचार प्रदान कर सकते हैं। अगर आपको यह लक्षण अपने आप दूर हो रहा है, तो यह तनाव, चिंता या अन्य मनोवैज्ञानिक कारकों या शारीरिक गतिविधि, गर्मी या मौसम में परिवर्तन जैसी बाहरी स्थितियों के",0.459,6.348,48.371,6.359,54.731,60,19,148,1957,130.75,23.39,10.52,1.235,0.118,0.051
5.1,I was reading my chart about atrial fibrillation. Does my ECG show any signs of A-Fib?,en,I was reading my chart about atrial fibrillation. Does my ICP show any sign of AFib?,"Yes, it's possible that your ischemic stroke case record indicates atrial fibrillation (AFib). When you have an ischemic stroke, it's essential to assess the risk factors, such as hypertension, diabetes, and atrial fibrillation, to identify the underlying cause and develop an appropriate management plan.",0.319,2.821,24.418,2.828,27.246,60,21,58,1173,188.09,20.74,12.49,1.041,0.235,0.048
5.2,"last night, I felt a sudden palpitation, almost like a premature ventricular contraction.",en,"Of course, last night, I felt a sudden salutation on looks like a pre-match or something for their contractions.","It's crucial to report any new symptoms, especially those related to the heart, to your cardiologist promptly. Sudden, sharp chest pains or palpitations, known as acute coronary syndromes, could indicate a heart attack or other serious conditions. Therefore, it's essential to get medical attention immediately.",0.331,2.364,24.869,2.386,27.255,60,25,59,1196,181.12,25.32,12.51,1.04,0.923,0.477
5.3,They also tested my left ventricular ejection fraction. Does my number indicate that I have heart failure?,en,I also tested my left ventricular ejection fraction. Does my number indicate that I have heart failure?,"The left ventricular ejection fraction (LVEF) measurement is a vital tool for assessing heart function. A low LVEF value, often below 40%, may indicate heart failure, but it doesn't necessarily mean it's the sole cause of your symptoms. It's essential to discuss your results with your cardiologist to determine the underlying cause and develop a treatment plan. Keep in mind that heart failure can be caused by several factors, including hypertension, valvular heart disease, coronary artery disease, and cardiomyopathy.",0.3,4.148,41.66,4.165,45.825,60,22,105,2003,200.25,25.33,12.51,1.04,0.059,0.038
5.4,"During the same test, they said my echocardiogram showed mild mitral valve regurgitation. Should I worry?",en,"During the same test, they said mycocardiogram showed mild menstrual bulk recarbitation. Could I worry?","A myocardial infarction (MI) or heart attack can lead to a pattern on the electrocardiogram (ECG) known as ST-segment elevation, which may be referred to as ""reciprocal ST-segment elevation"" or ""S-T-T wave inversion."" Mild ST-segment elevation is a relatively common finding and does not necessarily indicate a heart attack. However, it is essential to consult your cardiologist for further evaluation and guidance, as they can assess the severity and significance of the finding based on your medical history and other factors.",0.333,4.375,45.413,4.389,49.801,60,19,107,2030,180.13,24.62,11.63,1.118,0.375,0.157
5.5,The final discharge summary mentioned myocardial ischemia. Could you explain what that actually means for my daily life?,en,The final discharge summary mentioned myocardial ischemia. Could you explain what that actually means for my daily life?,"Myocardial ischemia refers to reduced blood flow to the heart muscle, which can be caused by conditions such as coronary artery disease, high blood pressure, or abnormal heart rhythms. In some cases, it can lead to angina (chest pain or discomfort) during physical activity or stress. In your case, the term ""myocardial ischemia"" refers to a condition where your heart may experience reduced blood flow temporarily, without causing permanent damage. To maintain good heart health, it's essential to address any underlying conditions, such as high blood pressure or abnormal heart rhythms, and follow a heart-healthy lifestyle by maintaining a healthy weight, avoiding tobacco, limiting alcohol consumption, and eating a balanced diet rich in fruits, vegetables, and whole grains. Regular exercise is also",0.32,6.126,67.247,6.134,73.382,60,23,162,3092,187.36,26.49,11.96,1.087,0.0,0.0
6.1,"For my records, I am currently taking Atorvastatin twenty milligrams and Clopidogrel seventy-five milligrams.",en,"For my records, I am currently taking atorafastatin 20mg and globidogwell 75mg.","It's great that you're taking these medications to manage your cholesterol levels. I would like to know what led you to start these treatments, and how your health has been since starting them. It's important to discuss any changes in symptoms or medical concerns with your doctor, as they can help guide your treatment plan and ensure you're on the right track.",0.314,3.607,23.944,3.627,27.57,60,15,82,1392,191.29,22.86,15.12,0.86,0.467,0.383
6.2,You should also know I have a history of deep vein thrombosis in my right leg from two years ago.,en,You should also know I have a history of deep pain thrombosis in my right leg from two years ago.,"I'm glad you mentioned that. Deep vein thrombosis, also known as DVT, can be a serious condition. The risk of recurrence is higher if you've had a previous episode. Your doctor may recommend additional tests or treatments to monitor your risk and help prevent future occurrences. Your current medications may also play a role in reducing your risk.",0.308,2.802,25.848,2.824,28.671,60,26,77,1338,194.52,27.53,13.46,0.966,0.05,0.021
6.3,My local doctor suspects I might currently have a mild case of angina pectoris,en,My local doctor suspects I might currently have a mild case of angina victoris,"Angina victoris, also known as silent angina, is a type of chest pain that doesn't cause the typical symptoms associated with heart disease. It's often caused by a buildup of plaque in the coronary arteries, which can lead to reduced blood flow to the heart. It's important to have your symptoms evaluated by a healthcare professional who can perform a thorough assessment, including blood tests and potential imaging studies, to determine the cause of your chest pain. Early detection and management are crucial in preventing further complications.",0.282,4.202,41.22,4.218,45.438,60,18,115,2111,212.55,27.54,13.32,0.976,0.071,0.026
6.4,"If they add calcium channel blockers for the angina, are there any bad interactions with the Clopidogrel?",en,"If they add calcium channel blockers for the angina, are there any bad interactions with the clubby dog rhythm?","Calcium channel blockers, such as those in the class known as diltiazem, can have potential interactions with certain medications or conditions, including a clubbed dog rhythm. A clubbed dog rhythm is a heart rhythm disturbance that can occur with certain congenital heart conditions, such as hypertrophic cardiomyopathy or Ebstein's anomaly. Calcium channel blockers can slow down the heart rate, which could exacerbate the clubbed dog rhythm in these cases. It's crucial to discuss any potential interactions with your healthcare provider, as they can recommend alternative medications or adjust dosages to minimize the risk. Regular monitoring of your heart rhythm is also necessary to detect any changes promptly.",0.322,5.315,56.444,5.346,61.79,60,25,142,2757,186.53,26.77,12.7,1.023,0.176,0.107
6.5,"Honestly doctor, I don't want to take any of these pills anymore. They make me feel so tired and awful. Can I just stop?",en,"Honestly doctor, I don't want to take any of these pills anymore. They make me feel so tired and awful. Can I just stop?","I understand that taking medications can sometimes be challenging, especially when they cause side effects. However, it's essential to consult with your healthcare provider before making any changes to your treatment plan, especially when it comes to medications that are crucial for managing your health conditions. Your doctor can discuss potential alternatives, adjust dosages, or recommend other treatments that may be more compatible with your current condition and symptoms. It's also crucial to follow your doctor's instructions and recommendations to ensure you receive the best possible care and support. Remember, taking your medications as directed can help you manage your health conditions and improve your overall quality of life.",0.344,5.273,51.26,5.292,56.552,60,31,144,2861,174.54,27.5,14.51,0.896,0.0,0.0
7.1,Hello... is anyone there? I think I pressed the wrong button... I'm confused.,en,"Hello, is anyone there? I think I pressed the wrong button. I am confused.","Hello, I'm here to help. What can I do for you today? Are you having trouble with your heart health or have a specific concern? I'm here to provide reassurance and guidance.",0.275,2.171,14.057,2.184,16.241,60,18,42,665,218.03,19.6,12.31,1.056,0.071,0.014
7.2,I... I feel very weak today... I can't even stand up without feeling like I will faint.,en,I feel very rude to not even stand up without feeling like elfin to me.,"I understand that feeling. However, it's important to consult with a healthcare professional for an accurate diagnosis and to rule out any serious conditions that may cause such symptoms. In the meantime, here are some general tips to help you feel better:

1. Stay hydrated by drinking plenty of water throughout the day.

2. Avoid dehydration by taking regular breaks to drink water or other non-caffeinated beverages.

3. Maintain a balanced diet rich in fruits, vegetables, lean proteins, and whole grains.

4. Engage in regular physical activity, such as walking, swimming, or yoga, to improve circulation and energy levels.

5. If you're experiencing irregular heartbeats, it's a",0.279,5.882,62.853,5.887,68.74,60,19,142,2634,214.81,24.19,10.9,1.193,0.5,0.3
7.3,My heart is beating so fast... it won't stop fluttering... I'm really scared.,en,My heart is beating so fast. They don't stop fluttering. I am really scared.,"I'm really sorry to hear that you're feeling anxious. Rapid heartbeats or palpitations can indeed be alarming and may indicate a need for medical attention. However, it's also important to rule out any serious conditions that could cause such symptoms. In the meantime, here are some steps you can take to help manage your anxiety and potentially alleviate the palpitations:

1. Stay calm: Deep, slow breaths can help you relax and slow your heart rate. Practice deep breathing exercises for a few minutes each day.

2. Hydration: Staying hydrated can help improve blood flow and reduce palpitations.

3. Regular exercise: Regular physical activity can help improve circulation and reduce anxiety. However, if you're experiencing palpitations, it",0.285,6.005,65.41,6.033,71.443,60,18,154,2869,210.67,25.69,11.41,1.14,0.2,0.086
7.4,Last night I woke up gasping for air... I had to sit up on the edge of the bed just to breathe.,en,"Last night, I woke up gasping for air. I had to sit on the edge of the bed just to rest.","I'm glad you reached out for help. The symptoms you described, such as waking up gasping for air and sitting on the edge of the bed to rest, can be alarming and may indicate an issue with your breathing. It's important to consult with a healthcare professional, as this could be a sign of an underlying condition. However, in the meantime, here are some steps you can take to ensure your safety and comfort:

1. Stay calm: It's natural to feel anxious when you're experiencing symptoms like this, but it's crucial to stay calm and not panic.

2. Monitor your breathing: Keep track of your breathing patterns during the day. If you notice that you're having trouble breathing",0.324,6.12,50.494,6.151,56.644,60,27,156,2592,185.3,25.64,13.35,0.974,0.091,0.077
7.5,"Please help me... my chest feels like someone is standing on it... and I'm coughing up a pink, frothy liquid…",en,Please help me. My chest feels like someone is standing on it and I am coughing up a pink frothy liquid.,"I'm really sorry to hear about your symptoms. It's important to consult with a healthcare professional as soon as possible. However, I'd like to provide some general information to help guide your concerns and expectations for medical attention.

The combination of symptoms you've described, including chest pain, coughing up pink frothy liquid, could be concerning. Chest pain can be a sign of several conditions, including heart issues, lung problems, or conditions affecting the digestive system. The frothy liquid could be a sign of lung issues, such as pneumonia or asthma, or a digestive condition like acid reflux.

Here are some steps you can take to prepare for your medical consultation:

1. **Take notes**: Record your",0.312,6.301,56.674,6.327,63.001,60,27,152,2807,192.36,24.27,12.88,1.009,0.048,0.01
