Conversation Number,Script,Timestamp,Transcript,Response,Response_Lang,UPL_sec I(Uniform Processing Latency),TTFA_sec,TTS_Total_Time_sec,E2E_Latency_sec,Input_Audio_Tokens,Transcribed_Text_Tokens,Response_Text_Tokens,Response_Lang_Tokens,Output_Audio_Tokens,Gemma_Core_TPS,Input_Audio_Ingestion_Rate_per_sec,TTS_CharacterPerSec,RTF (Real Time Factor),CMTT (Cross Modal Token-to-Token Rate),Turn_WER,Turn_CER
3.1,"डॉक्टर, मुझे कल रात से थोड़ी घबराहट हो रही है।",2026-06-24 16:12:58,डॉक्टर मुझे कल रात से थोड़ी घबराहट हो रही है।,"आपकी घबराहट के बारे में सुनकर मुझे चिंता हो रही है, कृपया मुझे बताएं कि क्या आपको सीने में दर्द, सांस लेने में बहुत तकलीफ या चक्कर आ रहे हैं, क्योंकि ये गंभीर लक्षण हो सकते हैं, अगर ऐसा है तो तुरंत अस्पताल जाएँ, अन्यथा, आप गहरी सांस लेने का अभ्यास कर सकती हैं और शांत रहने की कोशिश कर सकती हैं, यदि यह समस्या बनी रहती है तो आपको एक क्लिनिकल अपॉइंटमेंट लेना चाहिए।",hi,9.794,9.967,49.087,58.904,296,15,112,1,1396,13.12,30.32,7.4,1.758,0.472,0,0
3.2,"मेरा बीपी चेक किया था सुबह, ऊपर वाला 140 और नीचे वाला 90 है।",2026-06-24 16:14:06,मेरा बीपी चेक किया था सुबह ऊपर वाला 140 और नीचे वाला 90 है।,"आपके रक्तचाप के रीडिंग को देखते हुए, ऊपर का मान थोड़ा बढ़ा हुआ है, लेकिन यह बहुत गंभीर नहीं है, आप अपने खान-पान में नमक का सेवन कम करने पर ध्यान दे सकती हैं और नियमित रूप से टहलने की आदत डाल सकती हैं, इन जीवनशैली परिवर्तनों से अक्सर रक्तचाप नियंत्रित रहता है, यदि यह रीडिंग बार-बार उच्च रहती है तो आपको एक क्लिनिकल अपॉइंटमेंट लेकर विस्तृत जांच करानी चाहिए।",en,9.47,9.652,45.739,55.242,300,21,93,1,1369,12.15,31.76,7.78,1.67,0.472,0,0
3.3,"हार्ट रेट भी थोड़ा बढ़ गया है, अभी 110 चल रहा है। क्या यह बीपी की वजह से है?",2026-06-24 16:15:12,हार्ट रेट भी थोड़ा बढ़ गया है अभी 110 चल रहा है क्या ये बीपी की वजह से है,"एक बार फिर से मैं आपको बताना चाहूंगी कि यदि आपकी हृदय गति 110 बीट्स प्रति मिनट पर बनी रहती है और आपको इसके साथ घबराहट या बेचैनी महसूस हो रही है, तो आपको तुरंत डॉक्टर से मिलना चाहिए ताकि वे आपकी पूरी जांच कर सकें और यह पता लगा सकें कि यह उच्च हृदय गति बीपी या किसी अन्य कारण से है या नहीं, कृपया इस स्थिति को हल्के में न लें और जल्द से जल्द चिकित्सकीय सलाह लें।",en,10.232,10.411,39.686,49.947,428,28,106,1,1384,13.28,41.91,9.07,1.433,0.31,0.12,0.051
3.4,"डॉक्टर, क्या मैं खाने में थोड़ा नमक ज़्यादा खा सकता हूँ? ",2026-06-24 16:16:01,अरे डॉक्टर खाने में थोड़ा नमक ज्यादा खा सकता हूं,"आप अपने भोजन में नमक की मात्रा को कम करना अत्यंत आवश्यक है क्योंकि अधिक नमक का सेवन उच्च रक्तचाप का एक प्रमुख कारण है, इसके बजाय आप ताजे फल और सब्जियां अधिक खाएं और अपने आहार में पोटेशियम युक्त खाद्य पदार्थ शामिल करें, यह आपके हृदय स्वास्थ्य के लिए बहुत फायदेमंद होगा।",en,6.786,6.965,29.717,36.532,451,15,70,1,1030,12.74,66.58,9.02,1.442,0.328,0.333,0.25
3.5,"मैं नमक कम ही खाऊंगा। डॉक्टर, मैं ठीक तोह हो जाऊंगा ना? मुझे डर लग रहा है।",2026-06-24 16:17:17,मैं नमक कम भी खाऊंगा डॉक्टर वो जाऊगा ना मुझे डर लग रहा है,"Please try to remain calm because fear can often increase heart rate and blood pressure, and while reducing salt is very helpful for your heart health, it is important to monitor your blood pressure regularly at home and maintain a balanced diet rich in fruits and vegetables; if you are feeling anxious or if your blood pressure readings remain high, please book an appointment with your physician for a thorough evaluation and personalized guidance.",en,10.207,10.387,38.854,49.091,938,54,98,1,1734,15.03,91.92,11.61,1.12,0.178,0.346,0.224
4.1,दवाई  खाने के बाद मुझे थोड़े चक्कर आते हैं। ऐसा क्यूँ हो रहा है?,2026-06-25 10:40:12,दवाई खाने के बाद मुझे थोड़े चक्कर आते हैं ऐसा क्यों हो रहा है,"आप दवाई खाने के बाद चक्कर महसूस कर रहे हैं, यह कई कारणों से हो सकता है जैसे कि दवा का कोई साइड इफेक्ट या फिर ब्लड प्रेशर में अचानक बदलाव हो सकता है यह जानना बहुत आवश्यक है कि आप कौन सी दवाई ले रहे हैं और क्या आप किसी अन्य स्वास्थ्य समस्या से पीड़ित हैं इसलिए, मैं आपको सलाह दूँगी कि आप जल्द से जल्द एक क्लिनिकल अपॉइंटमेंट बुक करें ताकि हम आपकी पूरी जांच कर सकें और इसका सही कारण पता लगा सकें।",hi,9.854,10.028,55.117,64.995,256,21,129,1,1507,15.32,25.98,7.11,1.828,0.587,0.048,0.021
4.2,और रात को सोते वक़्त सांस लेने में भी थोड़ी दिक्कत होती है।,2026-06-25 10:41:11,और रात को सोते वक़्त लेटने में भी थोड़ी दिक्कत होती है,"लेटने पर दिक्कत होना और चक्कर आना ये दोनों लक्षण मिलकर कुछ स्वास्थ्य समस्याओं की ओर इशारा कर सकते हैं, जैसे कि ब्लड प्रेशर में बदलाव या फिर किसी अन्य आंतरिक कारण से, इसलिए यह बहुत महत्वपूर्ण है कि आप इस बारे में किसी विशेषज्ञ से मिलें और पूरी जानकारी दें ताकि उचित निदान और उपचार किया जा सके।",hi,6.987,7.17,39.046,46.066,229,18,88,1,1123,15.38,32.79,7.48,1.738,0.684,0.227,0.152
4.3,"आज सुबह से मुझे लेफ्ट साइड चेस्ट में थोड़ा पेन फील हो रहा है, गैस जैसा लग रहा है।",2026-06-25 10:42:05,आज सुबह से मुझे लेफ्ट साइड चेस्ट में थोड़ा पेन फील हो रहा है कैच जैसा लग रहा है,"Feeling pain in the left side of your chest, even if it feels like a catch, is something that must be taken very seriously, and since this involves chest discomfort, I strongly advise you to seek urgent hospital care immediately for a proper evaluation, as chest pain needs prompt medical attention.",en,7.155,7.336,29.612,36.798,289,28,67,1,1150,13.6,40.43,10.1,1.287,0.542,0.097,0.045
4.4,"मेरी लेफ्ट आर्म में, बहुत भारी-पन लग रहा है।",2026-06-25 10:42:58,मेरी लेफ्ट आर्म में बहुत भारीपन लग रहा है।,"आपकी बाईं बांह में भारीपन महसूस होना एक लक्षण है जिसे नजरअंदाज नहीं करना चाहिए, क्योंकि यह हृदय संबंधी समस्याओं का संकेत हो सकता है, इसलिए मैं आपसे अनुरोध करती हूँ कि आप तुरंत किसी नजदीकी अस्पताल जाकर डॉक्टर को दिखाएं ताकि वे उचित जांच करके आपको सही मार्गदर्शन दे सकें।",hi,6.696,6.869,33.955,40.674,299,13,76,1,1034,13.59,44.73,7.92,1.641,0.503,0,0
4.5,मुझे ठंड लग रही है पर पसीना भी आ रहा है... क्या करूं?,2026-06-25 10:43:45,"मुझे ठंड लग रही है और मुझे पसीना भी आ रहा है, क्या करूँ?","Feeling cold and sweating can sometimes be associated with various conditions, but especially when combined with other symptoms, it warrants professional medical assessment, so please go to a healthcare facility right away to have yourself thoroughly checked by a doctor.",en,5.942,6.116,26.205,32.171,254,21,53,1,1042,12.66,42.87,10.34,1.257,0.669,0.176,0.128
5.1,I was reading my chart about atrial fibrillation. Does my ECG show any signs of A-Fib?,2026-06-25 10:49:48,I'm just worried my chart about atrial fibrillation does my ecg show any signs of a fib,"It sounds like you are feeling quite anxious about your atrial fibrillation and your ECG results, and I understand that worry completely. Since I cannot review your personal medical records or ECGs, I must strongly advise you to discuss these specific findings with your cardiologist or primary care physician, as they are the only ones who can give you a complete and accurate assessment of your health status. In the meantime, focusing on maintaining a heart-healthy lifestyle, which includes a balanced diet, regular physical activity, and managing stress, is always very beneficial for heart health.",en,11.387,11.563,45.17,56.583,372,22,126,1,2319,13.17,32.71,13.35,0.974,0.538,0.176,0.131
5.2,"last night, I felt a sudden palpitation, almost like a premature ventricular contraction.",2026-06-25 10:50:59,last night i felt a certain palpitation almost like a premature ventricular contraction,"I understand that feeling palpitations can be very unsettling, especially when they feel unusual. While occasional palpitations are often benign, because you have a history of atrial fibrillation, it is important to monitor these sensations closely. If these palpitations are frequent, very intense, or if they are accompanied by shortness of breath, chest pain, or dizziness, you must seek urgent medical attention at the hospital. Otherwise, try keeping a log of when these episodes occur, what you were doing beforehand, and how long they last, and bring this detailed information to your next cardiology appointment so we can review it thoroughly.",en,10.907,11.079,49.616,60.545,275,17,134,1,2503,13.99,25.23,13.12,0.991,0.821,0.077,0.07
5.3,They also tested my left ventricular ejection fraction. Does my number indicate that I have heart failure?,2026-06-25 10:52:02,they also checked my left ventricular ejection fraction that's my number indicate that i have a heart failure,"I understand that receiving results regarding your left ventricular ejection fraction can be quite worrying, but please know that this is a measurement that helps your doctors understand how well your heart is pumping, and it is not a final diagnosis on its own. Your cardiologist needs to look at this number in the context of your overall clinical picture, your symptoms, and your history, including your atrial fibrillation. It is essential that you schedule a follow-up appointment with your cardiologist as soon as possible so they can interpret this specific measurement for you and discuss any necessary management strategies.",en,10.913,11.089,42.577,53.516,348,23,133,1,2434,14.47,31.9,14.87,0.874,0.631,0.235,0.106
5.4,"During the same test, they said my echocardiogram showed mild mitral valve regurgitation. Should I worry?",2026-06-25 10:53:17,during the same test this etch my electrocardiogram showed mild mitral valve regurgitation should i worry,"I understand that hearing about valve issues can cause concern, but please remain calm; mild mitral valve regurgitation is a common finding, and many individuals live well with it without needing immediate intervention. Your cardiologist is the best person to evaluate this finding, especially in light of your other heart conditions. They will determine if this mild regurgitation is clinically significant based on your symptoms and overall cardiac function. Please ensure you discuss this specific result with your treating physician at your next scheduled appointment for a complete and reassuring plan.",en,10.18,10.359,45.096,55.305,373,21,121,1,2334,14.08,36.72,13.46,0.966,0.603,0.188,0.098
5.5,The final discharge summary mentioned myocardial ischemia. Could you explain what that actually means for my daily life?,2026-06-25 10:54:38,the final test summary mentioned myocardial ischemia could you explain what that actually means for my daily life,"Myocardial ischemia simply means there might be reduced blood flow to a part of your heart muscle, which is something we monitor very closely. This finding does not automatically mean you have a severe, immediate problem, but it certainly requires careful management. It is crucial that you discuss this result in detail with your cardiologist, as they can correlate this finding with your symptoms and determine the appropriate next steps, which might include further testing or medication adjustments. In the meantime, focusing on a heart-healthy lifestyle, which includes managing blood pressure, controlling cholesterol, and engaging in regular, gentle activity as advised by your doctor, is very important for your daily well-being.",en,12.293,12.472,54.659,66.981,354,23,147,1,2834,14.04,28.84,13.48,0.964,0.641,0.056,0.068
6.1,"For my records, I am currently taking Atorvastatin twenty milligrams and Clopidogrel seventy-five milligrams.",2026-06-25 10:57:21,"For my records, I'm currently taking atorvastatin 20 milligrams and clopidogrel 75 milligrams.",Thank you for providing this information about your medications.  please ensure you are taking both atorvastatin and clopidogrel exactly as prescribed by your physician and do not stop them without medical advice. It is very important to take these medications consistently for optimal heart health.,en,7.865,8.04,22.505,30.394,309,17,59,1,1146,9.93,39.38,13.24,0.982,0.46,0.267,0.178
6.2,You should also know I have a history of deep vein thrombosis in my right leg from two years ago.,2026-06-25 10:58:10,You should also know I have a history of deep vein thrombosis in my right leg from two years ago,"Thank you for sharing this important medical history with me; knowing about your past deep vein thrombosis is very helpful for managing your overall cardiovascular care. Please continue to follow the treatment plan diligently, and it would be wise to discuss this history with your cardiologist at your next appointment to ensure your current medications and management plan are perfectly suited for your needs.",en,8.233,8.411,27.711,35.972,376,31,85,1,1580,14.34,45.71,14.83,0.877,0.499,0,0
6.3,My local doctor suspects I might currently have a mild case of angina pectoris,2026-06-25 10:59:02,my doctor suggests i might currently have a mild case of angina pectoris,"It is understandable that you are concerned about this suspicion of angina pectoris; since this involves chest discomfort, it is essential that you book an appointment with your doctor as soon as possible for a proper diagnosis and management plan. In the meantime, please rest when you feel any chest discomfort and avoid strenuous activity.",en,6.879,7.059,29.024,35.933,266,17,73,1,1315,13.29,38.7,11.78,1.103,0.7,0.143,0.115
6.4,"If they add calcium channel blockers for the angina, are there any bad interactions with the Clopidogrel?",2026-06-25 10:59:50,क्या कैल्शियम चैनल ब्लॉकर्स फॉर द एंजाइना आर देयर एनी बैड इंटरेक्शन्स विद द क्लोपिडोग्रेल,"यह एक महत्वपूर्ण प्रश्न है और दवाइयों के बीच इंटरेक्शन की जानकारी होना बहुत जरूरी है; कृपया अपनी दवाओं की पूरी सूची लेकर अपने हृदय रोग विशेषज्ञ से बात करें ताकि वे आपके लिए सबसे सुरक्षित और उपयुक्त उपचार योजना बना सकें, क्योंकि मैं आपको विशिष्ट दवा इंटरेक्शन पर सलाह नहीं दे सकती।",hi,7.816,7.996,25.955,33.802,302,22,79,1,1076,13.18,38.65,10.79,1.205,0.446,2.294,0.845
6.5,"Honestly doctor, I don't want to take any of these pills anymore. They make me feel so tired and awful. Can I just stop?",2026-06-25 11:01:01,Honestly doctor I don't want to take any of these pills anymore they make me feel so tired and awful can I just stop,"I understand that side effects can be very discouraging, and feeling tired is certainly not what you want when managing your heart health. However, because these medications are prescribed for a specific cardiac condition, stopping them abruptly without medical guidance can be very dangerous. Please schedule a follow-up consultation with your cardiologist so that they can review your current medications, discuss the side effects you are experiencing, and potentially adjust your dosage or switch you to a different medication that works for you while keeping your heart safe.",en,10.418,10.591,46.53,56.971,372,31,117,1,2226,14.39,35.75,12.44,1.045,0.565,0,0
7.1,Hello... is anyone there? I think I pressed the wrong button... I'm confused.,2026-06-25 11:03:41,Hello. Anyone there? I think I pressed the wrong button. I am confused.,"Please take a deep breath; it is alright. If you are feeling confused or unwell, please try to stay calm and remain seated or lying down until you feel more settled. If this feeling of confusion persists or gets worse, please seek immediate assistance from someone nearby or contact emergency services.",en,7.707,7.881,29.313,37.044,288,17,67,1,1161,11.17,37.37,10.3,1.262,0.512,0.143,0.058
7.2,I... I feel very weak today... I can't even stand up without feeling like I will faint.,2026-06-25 11:04:37,"I feel very weak today, can't even stand up without feeling like I'll faint.","I understand that you are feeling very weak and experiencing dizziness when standing, this is something we must take seriously. Such symptoms require a thorough medical evaluation to determine the exact cause, whether it is related to blood pressure, dehydration, or something else. Please book a clinical appointment with a physician as soon as possible so we can investigate this properly and give you the right care.",en,8.21,8.392,32.167,40.408,298,18,89,1,1611,13.24,36.33,13.03,0.998,0.644,0.167,0.075
7.3,My heart is beating so fast... it won't stop fluttering... I'm really scared.,2026-06-25 11:05:19,my heart is beating so fast it won't stop fluttering I am really scared,"Since your heart is fluttering and beating very fast, this is a symptom that requires urgent medical attention. Please do not wait and seek immediate hospital care right away so that a doctor can assess your heart rhythm and provide you with the necessary care.",en,6.165,6.341,17.193,23.384,253,18,59,1,1003,12.89,41.11,15.18,0.856,0.625,0.067,0.014
7.4,Last night I woke up gasping for air... I had to sit up on the edge of the bed just to breathe.,2026-06-25 11:06:06,Last night i woke up gasping for air i had to sit up on the edge of the bed to just breathe,"I understand that experiencing shortness of breath, especially waking up gasping for air, is very frightening. Since this is a serious symptom related to your breathing, you must seek urgent hospital care immediately so that medical professionals can evaluate your condition properly and ensure your safety.",en,6.901,7.078,24.992,31.92,298,29,61,1,1180,13.25,43.22,12.28,1.058,0.559,0.091,0.066
7.5,"Please help me... my chest feels like someone is standing on it... and I'm coughing up a pink, frothy liquid…",2026-06-25 11:06:44,help me my chest feels like someone is pounding on it and i am coughing up a pink frothy liquid,"Since you are experiencing chest pain accompanied by coughing up pink frothy liquid, this is a medical emergency and you must go to the nearest emergency room immediately for urgent evaluation and treatment.",en,5.624,5.805,14.896,20.551,355,26,43,1,796,12.71,63.27,13.9,0.935,0.385,0.143,0.109
